identifier,best_affinity_kcal_mol,runtime_seconds
CNP0605197.1,-7.281,93.8
CNP0605261.1,-7.19,40.7
CNP0605523.2,-4.564,22.1
CNP0605545.0,-5.074,28.6
CNP0606030.0,-4.859,42.2
CNP0608451.1,-4.891,19.0
CNP0608667.0,-7.196,113.3
CNP0608741.0,-5.949,23.0
CNP0608859.0,-5.357,37.5
CNP0608967.0,-6.153,29.2
CNP0609015.1,-6.119,98.3
CNP0609092.1,-7.191,91.0
CNP0609242.0,-6.244,64.1
CNP0609311.1,-5.347,23.6
CNP0609399.1,-6.772,75.1
CNP0609512.0,-5.246,6.8
CNP0610152.1,-5.979,39.0
CNP0610247.0,-6.509,9.9
CNP0610302.1,-8.997,71.4
CNP0610848.0,-4.714,16.6
CNP0610964.0,-4.975,13.6
CNP0611005.1,-4.169,36.6
CNP0611506.1,-5.97,16.4
CNP0612038.0,-4.235,6.2
CNP0612063.0,-6.466,27.1
