identifier,best_affinity_kcal_mol,runtime_seconds
CNP0227814.2,-6.652,27.2
CNP0231352.2,-5.84,21.4
CNP0232675.1,-6.147,43.3
CNP0233288.2,-4.598,16.4
CNP0234782.1,-5.97,211.2
CNP0238205.0,-8.571,105.4
CNP0239902.4,-6.266,23.0
CNP0240302.0,-4.157,4.9
CNP0241081.1,-5.216,13.6
CNP0242182.1,-4.83,16.1
CNP0242638.1,-5.04,213.0
CNP0243577.1,-6.154,42.2
CNP0244044.1,-5.832,6.1
CNP0244600.0,-4.862,54.4
CNP0247000.1,-6.742,163.7
CNP0247201.1,-6.607,151.2
CNP0248062.1,-6.723,18.1
CNP0250917.1,-5.362,34.2
CNP0251225.3,-5.054,10.5
CNP0251608.1,-4.851,32.1
CNP0251739.2,-6.7,57.8
CNP0252331.3,-5.176,57.4
CNP0253568.1,-5.53,48.5
CNP0253821.1,-8.839,52.4
CNP0253847.1,-6.912,18.8
CNP0254126.0,-4.187,7.4
CNP0256628.1,-5.48,36.3
CNP0257369.0,-5.819,21.1
CNP0257795.2,-7.465,57.1
CNP0258540.1,-6.12,149.9
CNP0258607.1,-5.656,83.0
CNP0258688.0,-4.748,3.8
CNP0258843.1,-6.799,36.2
CNP0260515.2,-5.812,237.3
CNP0261723.0,-6.369,10.9
CNP0262082.0,-7.409,22.0
CNP0262288.1,-7.048,35.3
CNP0262593.1,-6.174,149.0
CNP0262669.2,-4.868,20.3
CNP0263090.4,-4.94,27.5
CNP0263210.1,-5.744,50.6
CNP0263318.2,-5.811,10.2
CNP0263778.0,-4.137,4.8
CNP0263785.2,-6.086,29.4
CNP0263908.2,-4.974,4.7
CNP0263999.1,-6.756,16.5
CNP0265629.0,-6.355,36.8
CNP0265792.1,-5.151,12.2
CNP0265883.0,-3.686,5.0
CNP0266277.0,-4.965,6.3
CNP0266445.0,-3.673,14.3
CNP0267020.2,-6.975,16.5
CNP0267126.1,-6.659,66.9
CNP0267772.1,-6.371,9.6
CNP0267816.1,-6.721,43.8
CNP0267992.0,-4.546,4.9
CNP0268933.1,-6.674,21.5
CNP0269120.1,-6.751,25.1
CNP0270431.1,-7.176,41.9
CNP0270590.2,-4.804,49.2
CNP0270732.1,-7.251,61.5
CNP0270807.4,-4.779,5.6
CNP0271264.0,-5.075,14.9
CNP0272401.8,-7.005,25.5
CNP0274169.1,-6.068,12.5
CNP0276625.0,-6.4,62.4
CNP0277315.1,-5.418,37.2
CNP0277606.1,-6.997,51.1
CNP0280027.1,-5.681,33.8
CNP0280113.1,-6.217,23.6
CNP0283177.1,-5.458,58.8
CNP0283416.0,-4.572,4.3
CNP0283580.1,-4.962,30.6
CNP0284037.1,-7.494,41.3
CNP0284067.1,-6.094,9.2
CNP0284335.1,-6.929,77.7
CNP0284685.2,-5.467,8.0
CNP0285228.1,-7.301,89.4
CNP0285318.3,-6.511,33.6
CNP0285914.3,-4.262,20.0
CNP0286080.2,-5.078,12.1
CNP0286503.4,-4.629,8.7
CNP0286847.2,-6.373,52.5
CNP0286937.1,-4.937,69.0
CNP0287138.1,-6.975,36.2
CNP0287953.1,-6.286,19.0
CNP0288650.1,-6.825,149.5
CNP0288810.1,-5.486,16.2
CNP0289196.0,-5.495,20.7
CNP0290038.1,-4.94,8.5
CNP0290200.1,-6.765,48.9
CNP0292087.0,-6.349,62.1
CNP0292683.0,-6.404,50.4
CNP0292906.1,-5.906,29.4
CNP0292926.1,-6.556,217.3
CNP0293150.1,-5.512,149.5
CNP0293746.0,-7.735,18.1
CNP0294000.1,-6.7,22.9
CNP0294301.1,-6.156,14.5
CNP0294601.1,-7.554,22.8
CNP0298393.1,-6.852,22.4
CNP0298725.1,-6.354,77.1
CNP0298907.0,-4.44,4.7
CNP0299013.1,-5.96,21.4
CNP0300944.1,-5.306,12.7
CNP0301074.1,-6.317,18.8
CNP0304114.1,-7.198,18.7
CNP0304509.1,-6.234,30.5
CNP0305594.0,-4.773,5.5
CNP0306676.1,-5.667,28.3
CNP0307334.0,-4.562,59.3
CNP0307339.0,-8.124,31.6
CNP0308481.1,-5.934,16.9
CNP0309628.1,-5.579,114.3
CNP0309700.1,-6.422,17.3
CNP0309717.1,-7.266,86.7
CNP0309954.0,-7.11,14.0
CNP0311151.0,-6.228,31.4
CNP0312086.0,-5.143,5.0
CNP0312227.0,-4.343,9.8
CNP0313806.1,-5.779,25.6
CNP0315998.1,-5.714,36.5
CNP0316701.0,-6.871,69.9
CNP0317366.1,-4.599,15.4
CNP0320904.1,-5.256,54.9
CNP0321260.1,-5.572,17.4
CNP0321337.1,-6.436,6.9
CNP0322207.1,-6.226,26.3
CNP0322242.0,-4.09,8.4
CNP0322525.1,-6.081,6.5
CNP0324053.1,-4.989,38.1
CNP0325688.1,-6.1,20.3
CNP0325789.1,-6.502,20.4
CNP0326665.1,-4.682,10.7
CNP0327918.1,-6.503,44.3
CNP0328076.0,-4.002,6.1
CNP0328213.1,-6.273,46.3
CNP0328307.1,-6.776,62.9
CNP0328423.1,-5.751,24.8
CNP0328849.1,-6.529,21.6
CNP0328851.0,-6.393,10.5
CNP0329726.1,-7.075,8.6
CNP0329948.1,-6.258,139.8
CNP0330454.1,-6.944,150.6
CNP0331846.2,-5.162,20.5
CNP0332773.1,-7.038,58.8
CNP0333157.1,-6.48,122.8
CNP0333786.1,-5.011,15.4
CNP0334333.0,-5.108,15.9
CNP0334448.1,-7.06,31.3
CNP0334842.0,-5.909,75.8
CNP0335388.1,-7.727,146.6
CNP0335735.0,-3.802,11.5
CNP0335990.0,-5.414,11.6
CNP0337896.0,-4.084,5.3
CNP0338160.0,-3.298,10.6
CNP0338901.3,-6.676,67.4
CNP0339010.3,-6.265,73.6
CNP0340804.1,-4.79,66.3
CNP0342437.0,-4.741,8.0
CNP0342514.1,-6.384,33.6
CNP0342532.1,-4.983,5.6
CNP0342546.0,-6.546,78.2
CNP0342766.0,-7.694,24.4
CNP0343289.0,-8.732,186.3
