identifier,canonical_smiles,molecular_weight,alogp,topological_polar_surface_area,rotatable_bond_count,hydrogen_bond_acceptors_lipinski,hydrogen_bond_donors_lipinski,lipinski_rule_of_five_violations,qed_drug_likeliness,np_classifier_superclass,parent_family,pains_alert,DsbA_affinity,Irp3_affinity,row_idx,UMAP1,UMAP2,consensus_score,heavy_atom_count,DsbA_LE,Irp3_LE,consensus_LE
CNP0120239.1,CNC(=O)[C@@H]1CC2=CC=CC=C2CN1C(=O)CC1(CN2C=CC=C2)CCCCC1,393.53,3.53,54.34,5,3,1,0,0.84,Lysine alkaloids,Alkaloids,False,-6.545,-8.838,117532,2.7075882,6.154038,-7.6915,29,0.2256896551724138,0.30475862068965515,0.2652241379310345
CNP0156787.1,C[C@@H]1C[C@]2(C)CC(=O)O[C@@H]3CC[N@+]4([O-])CC[C@H](COC(=O)[C@]1(C)O2)[C@H]34,353.42,1.53,84.89,0,6,0,0,0.37,Ornithine alkaloids,Alkaloids,False,-5.959,-7.526,137773,0.80547994,6.203693,-6.7425,25,0.23836,0.30104,0.2697
CNP0440578.1,N=C(N)NCC/C=C1\NC(=O)N(/C=C/C2=CC=C(O)C(Br)=C2)C1=O,394.23,1.43,131.54,5,4,5,0,0.17,Histidine alkaloids,Alkaloids,False,-6.599,-8.023,171968,3.8767,4.8893366,-7.311,24,0.27495833333333336,0.33429166666666665,0.30462500000000003
CNP0343364.1,CN1C=C(C(N)=O)[C@H]2C[C@H](O)[C@H](C(=O)ONC(=O)CS(N)(=O)=O)[C@@H]2C1,376.39,-3.22,182.12,4,8,4,0,0.37,Peptide alkaloids,Alkaloids,False,-5.738,-7.765,206346,2.3224206,4.7405252,-6.7515,25,0.22952000000000003,0.3106,0.27006
CNP0046119.0,C1=CC=C(CSC2=CN=NS2)C=C1,208.31,2.83,25.78,3,4,0,0,0.73,Nicotinic acid alkaloids,Alkaloids,False,-5.133,-5.973,230411,5.2706213,6.543122,-5.553,13,0.39484615384615385,0.4594615384615385,0.42715384615384616
CNP0540432.1,CN1C(=O)[C@@H]2CCC[N@+]2(C)[C@H]1CC1=C(Br)N(C)C2=C(Br)C(Br)=CC=C12,535.1,4.42,25.24,2,2,0,1,0.52,Tryptophan alkaloids,Alkaloids,False,-6.75,-8.141,235134,3.5797288,5.6016974,-7.4455,25,0.27,0.32564,0.29782
CNP0522262.0,COC1=NC(OC)=NC([N+]2(C)CCOCC2)=N1,241.27,-0.14,66.36,3,6,0,0,0.69,Pseudoalkaloids,Alkaloids,False,-4.646,-5.724,239094,2.3176923,5.141278,-5.1850000000000005,17,0.2732941176470588,0.3367058823529412,0.305
CNP0258843.1,C=C(C)[C@@H]1CC2=C(C=CC3=C2O[C@@H]2CO[C@]4(OC)C=C(OC)C(=O)C=C4[C@@]2(O)C3=O)O1,426.42,1.65,100.52,3,8,1,0,0.73,Isoflavonoids,Flavonoids,False,-6.799,-8.678,14560,1.2209402,7.488554,-7.7385,31,0.2193225806451613,0.2799354838709678,0.24962903225806454
CNP0593115.1,CC[C@@H]1C[N+]2=C(C3=C(CC2)C2=C(OC)C=CC=C2N3)[C@@H](S(=O)(=O)[O-])[C@@H]1/C(=C\OC)C(=O)OC,476.55,1.81,120.76,6,7,1,0,0.22,Tryptophan alkaloids,Alkaloids,False,-5.56,-7.37,13704,3.2900822,7.1889086,-6.465,33,0.16848484848484846,0.22333333333333333,0.1959090909090909
CNP0425672.1,O=C1O[C@@H]2O[C@H]3O[C@@H]4C=C(CO)[C@@H]2[C@H]4[C@@H]13,210.18,-0.59,64.99,1,5,1,0,0.46,Monoterpenoids,Terpenoids,False,-5.462,-6.15,42235,1.0460386,6.2714405,-5.806,15,0.3641333333333333,0.41000000000000003,0.38706666666666667
CNP0333157.1,CCC(/C=C/C=C/C=C/C(=O)C1=C(O)C([C@]2(O)CC[C@@H](O)CC2)=CN(O)C1=O)CO,419.47,1.78,140.22,8,8,5,0,0.19,Nicotinic acid alkaloids,Alkaloids,False,-6.48,-7.957,74984,1.582477,6.2180824,-7.218500000000001,30,0.21600000000000003,0.2652333333333333,0.24061666666666667
