identifier,best_affinity_kcal_mol,runtime_seconds
CNP0608859.0,-6.581,35.5
CNP0608967.0,-7.116,28.6
CNP0609015.1,-7.615,95.6
CNP0609092.1,-9.058,85.1
CNP0609242.0,-7.667,55.3
CNP0609311.1,-6.821,23.9
CNP0609399.1,-8.182,75.4
CNP0609512.0,-5.74,8.9
CNP0610152.1,-7.257,36.9
CNP0610247.0,-7.345,11.6
CNP0610302.1,-12.47,80.7
CNP0610848.0,-7.601,16.6
CNP0610964.0,-6.326,12.9
CNP0611005.1,-5.83,40.6
CNP0611506.1,-7.953,17.0
CNP0612038.0,-4.812,6.7
CNP0612063.0,-8.084,34.0
