identifier,best_affinity_kcal_mol,runtime_seconds
CNP0494059.1,-8.642,168.4
CNP0494468.0,-4.27,14.1
CNP0494509.0,-6.576,18.5
CNP0496599.1,-7.684,56.5
CNP0496915.0,-7.718,35.0
CNP0497206.1,-9.36,87.0
CNP0497449.1,-8.385,22.5
CNP0499309.0,-7.491,32.9
CNP0499544.0,-5.314,52.4
CNP0499736.1,-8.403,15.7
CNP0501171.1,-7.724,22.8
CNP0501212.0,-8.97,19.6
CNP0502469.1,-8.842,13.4
CNP0502952.1,-8.629,98.7
CNP0503975.1,-6.818,27.5
CNP0504897.0,-9.105,92.0
CNP0506214.1,-7.907,43.0
CNP0506349.1,-5.417,25.0
CNP0506633.0,-8.556,29.9
CNP0506779.0,-7.745,46.2
CNP0507990.1,-4.973,9.8
CNP0508235.0,-6.972,58.6
CNP0508687.2,-4.549,6.5
CNP0508915.1,-8.095,62.4
CNP0509222.0,-7.556,114.8
CNP0509930.0,-3.142,21.4
CNP0510172.1,-8.358,192.7
CNP0511550.1,-8.228,40.0
CNP0513042.0,-5.234,8.8
CNP0514329.0,-8.863,32.0
CNP0515136.1,-6.844,35.7
CNP0515354.1,-7.144,63.9
CNP0515594.1,-7.75,230.3
CNP0515695.0,-9.382,109.7
CNP0517048.1,-7.222,22.0
CNP0517422.0,-5.679,17.0
CNP0517718.0,-8.634,51.4
CNP0518270.0,-3.817,7.4
CNP0518608.1,-8.66,61.8
CNP0519603.1,-7.046,77.8
CNP0519672.1,-9.118,30.0
CNP0520965.1,-8.631,87.8
CNP0521905.0,-9.983,35.2
CNP0522228.0,-7.929,8.8
CNP0522262.0,-5.724,19.3
CNP0523570.0,-5.217,8.8
CNP0524315.0,-7.589,13.1
CNP0524390.1,-6.406,12.0
CNP0524412.0,-8.025,46.3
CNP0524964.1,-9.647,20.6
CNP0525519.0,-6.262,17.7
CNP0526097.1,-7.78,156.2
CNP0526147.0,-6.705,10.5
CNP0526346.1,-8.608,145.5
CNP0526383.0,-9.72,104.5
CNP0526504.1,-9.529,76.1
CNP0526610.1,-8.39,140.5
CNP0527181.1,-9.568,145.7
CNP0528081.1,-8.096,19.9
